Evento,F1,F2,Tempo,0,1,2,3,
-,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,
(1) CH1,1,0,2.5000,2.5000,0.0000,0.0000,0.0000,
(3) CH1,2,0,4.5004,4.5004,0.0000,0.0000,0.0000,
(5) CH1,3,0,6.7765,6.7765,0.0000,0.0000,0.0000,
(2) P12,2,1,7.5000,7.5000,0.0000,0.0000,0.0000,
(6) CH1,3,1,9.1163,7.5000,1.6163,0.0000,0.0000,
(4) P12,2,2,9.5004,7.5000,2.0004,0.0000,0.0000,
(9) CH1,3,2,11.1295,7.5000,2.0004,1.6291,0.0000,
(7) P12,2,3,12.1889,7.5000,2.0004,2.6885,0.0000,
(8) SA2,2,2,12.3046,7.5000,2.0004,2.6885,0.1157,
(10) P12,1,3,12.8711,7.5000,2.0004,3.2550,0.1157,
(11) CH1,2,3,13.6416,7.5000,2.0004,3.2550,0.8862,
(13) SA2,2,2,15.3388,7.5000,2.0004,3.2550,2.5834,
(15) CH1,3,2,16.4961,7.5000,2.0004,4.4123,2.5834,
Numero de perdas: 0
